M1,M2,M3,M4,M5,M6,M7,M8
0.775592722,0.776808469,0.882416564,0,0.66916652,1,0.959996082,0.959996082
0.776808469,0.775592722,0.882416564,0,0.543298704,1,0.959996082,0.959996082
0.780771211,0.776808469,0.882416564,0,0.543298704,1,0.959996082,0.959996082
0.780771211,0.776808469,0.818787998,0,0.543298704,1,0.959996082,0.959996082
0.775592722,0.775592722,0.797388878,0,0,0.980196039,0.959996082,0.959996082
0.780771211,0.780771211,0.882416564,0,0.543298704,0.980196039,0.959996082,0.959996082
0.776808469,0.776808469,0.882416564,0,0.66916652,1,0.959996082,0.959996082
0.776808469,0.775592722,0.882416564,0,0.543298704,0.980196039,0.959996082,0.959996082
0.780771211,0.775592722,0.797388878,0,0.543298704,1,0.959996082,0.959996082
0.775592722,0.780771211,0.882416564,0,0,1,0.959996082,0.959996082
0.776808469,0.775592722,0.797388878,0,0,1,0.959996082,0.959996082
0.776808469,0.775592722,0.882416564,0,0.543298704,1,0.959996082,0.959996082
0.776808469,0.776808469,0.797388878,0,0,1,0.959996082,0.959996082
0.780771211,0.776808469,0.882416564,0,0.543298704,0.980196039,0.959996082,0.959996082
0.776808469,0.775592722,0.882416564,0,0,0.980196039,0.959996082,0.959996082
0.775592722,0.775592722,0.882416564,0,0,1,0.959996082,0.959996082
0.780771211,0.780771211,0.797388878,0,0.543298704,1,0.959996082,0.959996082
0.776808469,0.775592722,0.882416564,0,0,1,0.959996082,0.959996082
0.776808469,0.776808469,0.882416564,0,0.623444962,1,0.959996082,0.959996082
0.775592722,0.776808469,0.882416564,0,0.66916652,0.980196039,0.959996082,0.959996082
0.780771211,0.776808469,0.882416564,0,0.66916652,1,0.959996082,0.959996082
0.776808469,0.776808469,0.882416564,0,0,0.980196039,0.959996082,0.959996082
0.780771211,0.780771211,0.797388878,0,0.543298704,1,0.959996082,0.959996082
0.776808469,0.863803921,0.882416564,0,0,1,0.959996082,0.959996082
0.776808469,0.776808469,0.882416564,0,0.66916652,0.980196039,0.959996082,0.959996082
0.776808469,0.775592722,0.882416564,0,0.543298704,0.980196039,0.959996082,0.959996082
0.776808469,0.775592722,0.882416564,0,0.557629177,0.980196039,0.959996082,0.959996082
0.776808469,0.775592722,0.731180685,0,0.66916652,1,0.959996082,0.959996082
0.775592722,0.776808469,0.882416564,0,0.66916652,1,0.959996082,0.959996082
0.780771211,0.776808469,0.797388878,0,0,1,0.959996082,0.959996082
0.780771211,0.776808469,0.882416564,0,0,1,0.959996082,0.959996082
0.776808469,0.776808469,0.882416564,0,0,1,0.959996082,0.959996082
0.780771211,0.776808469,0.731180685,0,0.66916652,0.980196039,0.959996082,0.959996082
0.776808469,0.776808469,0.797388878,0,0.66916652,0.980196039,0.959996082,0.959996082
0.776808469,0.780771211,0.882416564,0,0.557629177,1,0.959996082,0.959996082
0.776808469,0.775592722,0.882416564,0,0.66916652,0.980196039,0.959996082,0.959996082
0.775592722,0.776808469,0.882416564,0,0,0.980196039,0.959996082,0.959996082
0.776808469,0.780771211,0.882416564,0,0.543298704,1,0.959996082,0.959996082
0.776808469,0.776808469,0.882416564,0,0.543298704,1,0.959996082,0.959996082
0.775592722,0.775592722,0.797388878,0,0.543298704,1,0.959996082,0.959996082
0.775592722,0.776808469,0.818787998,0,0.557629177,1,0.959996082,0.959996082
0.776808469,0.776808469,0.882416564,0,0,1,0.959996082,0.959996082
0.776808469,0.776808469,0.882416564,0,0.543298704,0.980196039,0.959996082,0.959996082
0.776808469,0.776808469,0.863803921,0,0.543298704,1,0.959996082,0.959996082
0.776808469,0.780771211,0.882416564,0,0,1,0.959996082,0.959996082
0.780771211,0.776808469,0.797388878,0,0.543298704,1,0.959996082,0.959996082
0.776808469,0.775592722,0.882416564,0,0,0.980196039,0.959996082,0.959996082
0.780771211,0.776808469,0.797388878,0,0.543298704,1,0.959996082,0.959996082
0.776808469,0.780771211,0.882416564,0,0,0.980196039,0.959996082,0.959996082
0.776808469,0.780771211,0.882416564,0,0.543298704,1,0.959996082,0.959996082
0.776808469,0.776808469,0.882416564,0,0,1,0.959996082,0.959996082
0.776808469,0.863803921,0.818787998,0,0.66916652,1,0.959996082,0.959996082
0.776808469,0.780771211,0.882416564,0,0.557629177,0.980196039,0.959996082,0.959996082
0.780771211,0.775592722,0.797388878,0,0.557629177,1,0.959996082,0.959996082
0.776808469,0.775592722,0.882416564,0,0,1,0.959996082,0.959996082
